Currency,Year,Month,Mean,Std,Volatility,Pct_Change,Inflation,Label,DPI,PCA1,PCA2,KMeans_Cluster,DBSCAN_Cluster,AHC_Cluster,KMedoids_Cluster,Stability_Label
IDR,2015,1,101.11196712891628,0.7347606823294609,0.09376800006575803,1.4527845036319613,6.14486552859631,IDR_2015_01,1.3858934446136724,1.2618907539037367,0.2813954122073373,2,0,0,0,B - Moderate
IDR,2015,2,100.04045561665357,0.7882628627041642,0.08746799777636574,0.997643362136685,5.92661044522616,IDR_2015_02,1.2554497362415709,0.5082828077447531,0.6114680731063589,1,0,0,0,A - Stable
IDR,2015,3,100.43184970369435,0.7288533294121707,0.1093112417108768,0.8398828787178302,5.70835536185601,IDR_2015_03,1.4389238708698906,0.737391080449802,0.7753887869763864,2,0,0,0,B - Moderate
IDR,2015,4,99.0668940554086,0.45711701297834784,0.08461100124506601,-1.110260336906585,5.49010027848586,IDR_2015_04,1.1032386266393797,-1.0355029052377194,0.7162382157158667,1,0,0,2,A - Stable
IDR,2015,5,100.97060974578919,0.7142977214942852,0.09722432843360793,1.6053098711121403,5.27184519511571,IDR_2015_05,1.183759621714552,1.220014259826409,0.2867937602772959,2,0,0,0,B - Moderate
IDR,2015,6,100.625,0.4513218423652329,0.06773877130616597,0.9242424242424243,5.05359011174556,IDR_2015_06,0.7946975824781637,0.43382757754068935,-0.30846763554532974,1,0,0,0,A - Stable
IDR,2015,7,100.07201840542778,0.4786316480209828,0.0735157676973797,1.1242692250037476,4.83533502837541,IDR_2015_07,0.7989641824184964,0.23445278835177624,-0.06685562077633668,1,0,0,2,A - Stable
IDR,2015,8,101.97392923649906,1.3505397065243867,0.10953662341178362,3.6126629422718803,4.61707994500526,IDR_2015_08,1.1405794665586027,3.0198089617783714,0.662227632217112,2,0,1,0,B - Moderate
IDR,2015,9,102.45681818181816,1.6390083239775421,0.0877928788118429,4.857142857142857,4.39882486163511,IDR_2015_09,0.8378718254684617,3.826746611925772,0.3586581307121715,2,0,1,0,B - Moderate
IDR,2015,10,94.564321055525,2.926249458698582,0.22095503644191317,-6.528312259483232,4.18056977826496,IDR_2015_10,2.263029062125701,-2.77588844132997,7.890849434869919,0,-1,2,2,C - Vulnerable
IDR,2015,11,99.86863711001641,0.6662119084238126,0.10494265034597289,0.058694057226705794,3.96231469489481,IDR_2015_11,0.9088219470384975,0.05596744519702935,0.8215919108407765,1,0,0,2,A - Stable
IDR,2015,12,99.49954432853443,1.125096150360007,0.14790782141254763,-0.2737160556075776,3.74405961152466,IDR_2015_12,1.3278961170201615,0.3136955716623162,2.1975154464051174,0,0,2,2,C - Vulnerable
IDR,2016,1,100.47705470572986,0.48535873276112784,0.0956725101802977,-0.07259528130671505,3.547573301136431,IDR_2016_01,0.6910783192514784,0.15999122467592497,0.27994309800079104,1,0,0,2,A - Stable
IDR,2016,2,98.71994428484375,0.871409224470392,0.10099024619366957,-1.8281535648994516,3.569342074118353,IDR_2016_02,0.7563953983810728,-1.0917203949629941,1.59649296090047,0,0,0,2,C - Vulnerable
IDR,2016,3,98.18897509718764,1.0161930718839562,0.16118195477921204,-0.9352787130564909,3.5911108471002744,IDR_2016_03,1.4337925115505679,-0.6737435529439193,2.728350979887875,0,0,2,2,C - Vulnerable
IDR,2016,4,99.92363870612846,0.28111019566009904,0.04671785798722598,0.09119927040583675,3.612879620082196,IDR_2016_04,0.16302866079232847,-0.5082630853083139,-0.5916908237672267,1,0,0,2,A - Stable
IDR,2016,5,101.67327928238743,1.2287505737720872,0.08695283244458847,3.4611005692599623,3.6346483930641176,IDR_2016_05,0.6178226356809882,2.571512854318286,0.22419636073052396,2,0,1,0,B - Moderate
IDR,2016,6,97.73710127737836,1.018977309534776,0.10055532523918052,-3.6942021549512574,3.656417166046039,IDR_2016_06,0.775550268939723,-2.158600096524725,2.326131253092399,0,0,2,2,C - Vulnerable
IDR,2016,7,99.42793539970437,0.3657186161271447,0.062217719992964625,-0.9030887151855506,3.6781859390279608,IDR_2016_07,0.3539231464435118,-0.9761684436530802,0.03998915021779386,1,0,0,2,A - Stable
IDR,2016,8,100.96306685366993,0.6412290105627283,0.04510227614403612,2.0199692780337943,3.699954712009882,IDR_2016_08,0.16901410105330647,1.0076470084907405,-0.7386864389799549,2,0,1,0,B - Moderate
IDR,2016,9,98.75034227820373,0.7442348371845037,0.06951937698995274,-2.085843373493976,3.7217234849918035,IDR_2016_09,0.4473709753511703,-1.4187512403378992,0.9886762249667324,0,0,0,2,C - Vulnerable
IDR,2016,10,100.37974776521745,0.3237395517543162,0.06091859105955872,0.7481104426962826,3.7434922579737253,IDR_2016_10,0.3574368673369734,0.07866309500140968,-0.5381944833650179,1,0,0,2,A - Stable
IDR,2016,11,102.3364747140971,1.5832268136376368,0.15838011501815308,3.757780680857604,3.7652610309556467,IDR_2016_11,1.4505521943134927,3.692699704331834,1.5406883288918785,2,0,2,0,B - Moderate
IDR,2016,12,98.83985746054712,0.6943348811895066,0.08989438081365848,-0.7810197465369879,3.7870298039375685,IDR_2016_12,0.6926441915738666,-0.866052822850546,1.0304286144739807,1,0,0,2,A - Stable
IDR,2017,1,98.81754938371279,0.5033700168891853,0.056324125177490116,-1.2877442273534636,3.761840806329526,IDR_2017_01,0.3112474662785207,-1.3706451019371766,0.35351068899223415,1,0,0,2,A - Stable
IDR,2017,2,99.89209441738478,0.1387357838555095,0.020473800233325144,-0.04496065942300487,3.7148830357395624,IDR_2017_02,-0.10158333217336712,-0.8161485819192106,-1.1400191696853967,1,0,0,2,A - Stable
IDR,2017,3,99.56232771524027,0.3297397330415163,0.0623197344983846,-0.6870286012993801,3.6679252651495986,IDR_2017_03,0.35223223653922625,-0.8557070774577659,-0.07306430429213458,1,0,0,2,A - Stable
IDR,2017,4,99.66741657292837,0.5084556264296028,0.09096122292480913,0.11998500187476566,3.6209674945596344,IDR_2017_04,0.658761627861255,-0.23930945710903936,0.44242638696392994,1,0,0,2,A - Stable
IDR,2017,5,99.9634471909819,0.20460040737575455,0.03952407440000729,-0.02251914127007957,3.5740097239696706,IDR_2017_05,0.07207092715310964,-0.6216240736224992,-0.7945293484015392,1,0,0,2,A - Stable
IDR,2017,6,100.00581260172054,0.12916515511805263,0.03060433135984178,-0.12035504738979991,3.527051953379707,IDR_2017_06,-0.040368434049818436,-0.736221156714261,-1.0260373996658865,1,0,0,2,A - Stable
IDR,2017,7,100.28862199113365,0.2728446629503613,0.03353148049370579,0.1654384117912468,3.480094182789743,IDR_2017_07,-0.020664160934853126,-0.3516551425815311,-0.9261821004147106,1,0,0,2,A - Stable
IDR,2017,8,100.10642673857546,0.13599945211919065,0.01998491179343464,0.12013815888271512,3.4331364121997794,IDR_2017_08,-0.1847124630397634,-0.6483221491806023,-1.2489660141885646,1,0,0,2,A - Stable
IDR,2017,9,99.84735880689637,0.5812107207229651,0.0452853006081655,1.4037985136251032,3.3861786416098156,IDR_2017_09,0.08454934461376881,0.11603832315367876,-0.41848771375244037,1,0,0,2,A - Stable
IDR,2017,10,100.39293791985956,0.3315915178100608,0.040486270333723595,0.8095061269959153,3.3392208710198514,IDR_2017_10,0.018073595879311677,0.00307381124752291,-0.8749503919973383,1,0,0,2,A - Stable
IDR,2017,11,99.72601177780462,0.17289654494858078,0.026374897663154928,-0.3688947912055482,3.2922631004298877,IDR_2017_11,-0.1522746917590116,-0.9687605648740002,-0.932314439752572,1,0,0,2,A - Stable
IDR,2017,12,100.05169485266967,0.1636068710558812,0.029151600977719763,0.12554464219776973,3.245305329839924,IDR_2017_12,-0.13424853447713436,-0.612252319158651,-1.0672513027743968,1,0,0,2,A - Stable
IDR,2018,1,98.83871754862489,0.5866167350280483,0.04402472315952006,-0.8935164672869591,3.185442716955087,IDR_2018_01,0.015146758409648381,-1.2318200518879021,0.1776644193470564,1,0,0,2,A - Stable
IDR,2018,2,101.46940147948891,0.6799315758098584,0.059561075358959735,2.323843682283494,3.1725378746602138,IDR_2018_02,0.18488589735814925,1.4923748360222284,-0.6802940420302025,2,0,1,0,B - Moderate
IDR,2018,3,99.94944354860027,0.13134104735540159,0.029340835299787957,0.007269555103227682,3.159633032365341,IDR_2018_03,-0.15575712183519322,-0.735993758915812,-1.0622858144308764,1,0,0,2,A - Stable
IDR,2018,4,100.22778824927887,0.5002168848134403,0.04549459902979878,0.7408483439860546,3.146728190070468,IDR_2018_04,0.02086880246772299,0.042595415930506614,-0.5400918183497292,1,0,0,2,A - Stable
IDR,2018,5,101.22440338003524,0.8019087522669798,0.11357751124781092,0.5467232573196172,3.1338233477755946,IDR_2018_05,0.7767273480720283,1.1273317841142245,0.6281655447599661,2,0,2,0,B - Moderate
IDR,2018,6,100.78338149808732,1.0499646762382457,0.09523716530695986,3.386167146974063,3.1209185054807214,IDR_2018_06,0.5685960763518381,1.932902322893799,0.37000302266261675,2,0,1,0,B - Moderate
IDR,2018,7,100.63182980480134,0.5093836366447393,0.054965136941012745,0.600684500942935,3.1080136631858486,IDR_2018_07,0.11583252641177198,0.27953865389031335,-0.4794266019949805,1,0,0,2,A - Stable
